Position of the two references,,,,,,,,
Frequency/LM loss of the two references,,,,,,,,
,,,,,,,,
Accuracy on different lengths,,,,,,,,
Accuracy by loss of answer,,,,,,,,
"Accuracy by word type (names, other nouns, etc)",,,,,,,,
Accuracy by concreteness,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
sentence features that might impact mode,,,,,,,,
email shuyan,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
pair/switched vs one wrong answers (results):,,,,,,accuracy by concreteness,,
pairs (45.1% of data),both correct,166,,,,"if you always choose more concrete word, you are correct",51.59%,of the time
,one correct,65,,,,current model chooses concrete word ,51.39%,of the time
,both wrong,55,,,,,,
,total,286,,,,,,
,%correct,0.6940559441,,,,,,
,%correct pairs,0.5804195804,,,,,,
,%wrong switched,0.4583333333,,,,,,
,,,,,,,,
singles (54.9% of data),correct,568,,,,,,
,total,695,,,,,,
,%correct,0.8172661871,,,,,,
