,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,dataset,roberta,note,bert,note,,,,
,,XS,52.09,"their setting, grad_accum 2",,,,"NUM_EPOCHS: 5
SEED: 5006
TRAIN_BATCH_SIZE: 16",,
,,S,"54.1, 54.9, 54.0, 50.7, 49.6, 51.9, 49.3, 62.0, 48.1, 58.0",their setting,,,,"NUM_EPOCHS: 5
SEED: 30693
TRAIN_BATCH_SIZE: 8",,
,,M,"51.4,50.1,50.6,49.6,51.5, 59.7, 51.7, 51.2, 64.2, 49.8, 49.9","their setting, seeds 4 and 7 worked",,,,"LEARNING_RATE: 1e-5
NUM_EPOCHS: 8
SEED: 23680
TRAIN_BATCH_SIZE: 16",,
,,L,"51.2, 72.7, 74, 73.5, 51.5","their setting but bs 8, seed 3",,,,"LEARNING_RATE: 1e-5
NUM_EPOCHS: 5
SEED: 26069
TRAIN_BATCH_SIZE: 16",,
,,XL,"76.6, 79.3, 79.5, 79.0, 79.7, 76.9, 79.5","bs 8, seeds 0 worked",65.7,8 epochs,,"NUM_EPOCHS: 8
SEED: 11262
TRAIN_BATCH_SIZE: 16",,"NUM_EPOCHS: 8
SEED: 1873
TRAIN_BATCH_SIZE: 8"
,,,,,,,,,,
,,running a bunch of XL experiments rn...,,,,,,,,
,,,,,,,,,,
,context ,option 1,option 2,correct answer,,,,,,
,"Joel went to Michael 's house and consumed a lot of alcohol, so _ had to ride back home as a passenger.",Joel,Michael,option 1,,,,,,
,"The battery of the the phone died faster than the laptop battery, because the _ was always off.",phone,laptop,option 2,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,Model,Dataset,Average performance,Best performance,Author,,,,
,,RoBERTa,XS,50.5,52.2,51.5,,,,
,,RoBERTa,S,53.3,62,58.6,,,,
,,RoBERTa,M,54,64.2,66.9,,,,
,,RoBERTa,L,64.6,74,75.8,,,,
,,RoBERTa,XL,78.6,79.7,79.3,,,,
,,BERT,XL,,65.7,65.8,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,"76.6, 79.3, 79.5, 79.0, 79.7, 76.9, 79.5",xs,s,m,l,xl,bert,,
,,,52.1,54.1,51.4,51.2,76.6,65.7,,
,,,50.1,54.9,50.1,72.7,79.3,64.8,,
,,,50.4,54,50.6,74,79.5,51,,
,,,51.2,50.7,59.6,73.5,79,51.8,,
,,,48.1,49.6,51.5,51.5,79.7,50.4,,
,,,51,51.9,59.7,,76.9,,,
,,,52.2,49.3,51.7,,79.5,,,
,,,48.6,62,51.2,,,,,
,,,49.4,48.1,64.2,,,,,
,,,51.5,58,49.8,,,,,
,,,,,,,,,,
,,average,50.46,53.26,53.98,64.58,78.64285714,56.74,,
